,appid,average_playtime,median_playtime,standard_deviation
0,10,17612.0,317.0,617.95
1,20,277.0,62.0,1.13
2,30,187.0,34.0,45.92
3,40,258.0,184.0,1.63
4,50,624.0,415.0,0.0
5,60,175.0,10.0,2.85
6,70,1300.0,83.0,9.87
7,80,427.0,43.0,0.0
8,130,361.0,205.0,0.0
9,220,691.0,402.0,14.8
10,240,6842.0,400.0,0.0
11,280,190.0,214.0,0.0
12,300,1356.0,134.0,0.0
13,320,311.0,32.0,0.0
14,340,46.0,29.0,0.0
15,360,102.0,81.0,0.0
16,380,281.0,184.0,0.0
17,400,288.0,137.0,8.63
18,420,354.0,301.0,0.0
19,440,8495.0,623.0,310.0
20,500,897.0,278.0,107.22
21,550,1615.0,566.0,147.6
22,570,23944.0,801.0,600.49
23,620,1102.0,520.0,46.92
24,630,371.0,83.0,8.65
25,730,22494.0,6502.0,0.0
26,1002,0.475,0.35,0.39
27,1200,232.0,258.0,0.0
28,1250,1328.0,306.0,128.15
29,1300,0.0,0.0,0.0
30,1500,182.0,273.0,3.17
31,1510,65.0,77.0,8.06
32,1520,80.0,119.0,2.1
33,1530,121.0,224.0,5.26
34,1600,0.5,0.5,0.0
35,1610,10.666666666666666,6.9,10.51
36,1630,0.0,0.0,0.0
37,1640,9.0,12.0,0.0
38,1670,0.0,0.0,0.0
39,1690,35.0,35.0,0.0
40,1700,11.0,21.0,21.37
41,1840,239.0,77.0,44.07
42,1900,405.0,414.0,8.26
43,1930,484.0,422.0,11.26
44,2100,634.0,700.0,0.0
45,2200,123.0,103.0,5.01
46,2210,36.0,32.0,0.0
47,2270,69.0,110.0,0.05
48,2280,125.0,179.0,0.0
49,2290,120.0,114.0,0.52
50,2300,90.0,78.0,0.0
51,2310,167.0,189.0,0.0
52,2320,291.0,349.0,0.0
53,2330,32.0,32.0,0.0
54,2340,1.0,1.0,0.0
55,2350,0.0,0.0,0.0
56,2360,50.0,50.0,0.0
57,2370,0.0,0.0,0.0
58,2390,0.0,0.0,0.0
59,2400,233.0,239.0,0.0
60,2450,193.0,193.0,10.94
61,2500,186.0,258.0,11.1
62,2520,0.0,0.0,0.0
63,2590,0.5666666666666668,0.5,0.17
64,2600,350.0,202.0,0.0
65,2610,462.0,889.0,0.0
66,2620,545.0,849.0,0.0
67,2630,750.0,1041.0,0.0
68,2640,0.0,0.0,0.0
69,2710,0.0,0.0,0.0
